DataHora;Instancia;Algoritmo;Alpha;Iteracoes;Bloco;Semente;Tempo(s);ValorObtido
2026-07-13 10:15:37;b01;Guloso;-;-;-;100000;0.046570;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.2;0.2;30;-;100000;0.008393;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.3;0.3;30;-;100000;0.007580;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.4;0.4;30;-;100000;0.007840;82.000000
2026-07-13 10:15:37;b01;Reativo_0.2_0.3_0.4;-;300;30;100000;0.086757;82.000000
2026-07-13 10:15:37;b01;Guloso;-;-;-;100001;0.053890;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.2;0.2;30;-;100001;0.008870;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.3;0.3;30;-;100001;0.010040;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.4;0.4;30;-;100001;0.008419;82.000000
2026-07-13 10:15:37;b01;Reativo_0.2_0.3_0.4;-;300;30;100001;0.082237;82.000000
2026-07-13 10:15:37;b01;Guloso;-;-;-;100002;0.046971;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.2;0.2;30;-;100002;0.009049;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.3;0.3;30;-;100002;0.008218;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.4;0.4;30;-;100002;0.008083;82.000000
2026-07-13 10:15:37;b01;Reativo_0.2_0.3_0.4;-;300;30;100002;0.072626;82.000000
2026-07-13 10:15:37;b01;Guloso;-;-;-;100003;0.047980;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.2;0.2;30;-;100003;0.008639;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.3;0.3;30;-;100003;0.007516;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.4;0.4;30;-;100003;0.008292;82.000000
2026-07-13 10:15:37;b01;Reativo_0.2_0.3_0.4;-;300;30;100003;0.079798;82.000000
2026-07-13 10:15:37;b01;Guloso;-;-;-;100004;0.046036;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.2;0.2;30;-;100004;0.008810;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.3;0.3;30;-;100004;0.007919;82.000000
2026-07-13 10:15:37;b01;Randomizado_alpha_0.4;0.4;30;-;100004;0.010995;82.000000
2026-07-13 10:15:37;b01;Reativo_0.2_0.3_0.4;-;300;30;100004;0.084757;82.000000
2026-07-13 10:15:38;b01;Guloso;-;-;-;100005;0.052715;82.000000
2026-07-13 10:15:38;b01;Randomizado_alpha_0.2;0.2;30;-;100005;0.007159;82.000000
2026-07-13 10:15:38;b01;Randomizado_alpha_0.3;0.3;30;-;100005;0.007350;82.000000
2026-07-13 10:15:38;b01;Randomizado_alpha_0.4;0.4;30;-;100005;0.009057;82.000000
