Instancia;MelhorConhecido;Algoritmo;Alpha;Iteracoes;Bloco;Melhor10Execucoes;Media10Execucoes;TempoMedio(s);DesvioMelhor(%);DesvioMedia(%);MelhorSemente
b01;82.000000;Guloso;-;-;-;82.000000;82.000000;0.048758;0.000000;0.000000;100000
b01;82.000000;Randomizado_alpha_0.2;0.2;30;-;82.000000;82.000000;0.008437;0.000000;0.000000;100000
b01;82.000000;Randomizado_alpha_0.3;0.3;30;-;82.000000;82.000000;0.008046;0.000000;0.000000;100000
b01;82.000000;Randomizado_alpha_0.4;0.4;30;-;82.000000;82.000000;0.008558;0.000000;0.000000;100000
b01;82.000000;Reativo_0.2_0.3_0.4;-;300;30;82.000000;82.000000;0.081061;0.000000;0.000000;100000
b02;83.000000;Guloso;-;-;-;90.000000;90.000000;0.076306;8.433735;8.433735;100100
b02;83.000000;Randomizado_alpha_0.2;0.2;30;-;84.000000;84.000000;0.009993;1.204819;1.204819;100100
b02;83.000000;Randomizado_alpha_0.3;0.3;30;-;84.000000;84.000000;0.009394;1.204819;1.204819;100100
b02;83.000000;Randomizado_alpha_0.4;0.4;30;-;84.000000;84.000000;0.009456;1.204819;1.204819;100100
b02;83.000000;Reativo_0.2_0.3_0.4;-;300;30;85.000000;85.000000;0.089751;2.409639;2.409639;100100
b03;138.000000;Guloso;-;-;-;139.000000;139.000000;0.149320;0.724638;0.724638;100200
b03;138.000000;Randomizado_alpha_0.2;0.2;30;-;139.000000;139.000000;0.012053;0.724638;0.724638;100200
b03;138.000000;Randomizado_alpha_0.3;0.3;30;-;139.000000;139.000000;0.012432;0.724638;0.724638;100200
b03;138.000000;Randomizado_alpha_0.4;0.4;30;-;139.000000;139.000000;0.013208;0.724638;0.724638;100200
b03;138.000000;Reativo_0.2_0.3_0.4;-;300;30;139.000000;139.000000;0.127928;0.724638;0.724638;100200
b04;59.000000;Guloso;-;-;-;62.000000;62.000000;0.062014;5.084746;5.084746;100300
b04;59.000000;Randomizado_alpha_0.2;0.2;30;-;59.000000;59.900000;0.009408;0.000000;1.525424;100303
b04;59.000000;Randomizado_alpha_0.3;0.3;30;-;59.000000;59.100000;0.008826;0.000000;0.169492;100300
b04;59.000000;Randomizado_alpha_0.4;0.4;30;-;59.000000;59.000000;0.008854;0.000000;0.000000;100300
b04;59.000000;Reativo_0.2_0.3_0.4;-;300;30;59.000000;59.000000;0.088653;0.000000;0.000000;100300
b05;61.000000;Guloso;-;-;-;64.000000;64.000000;0.086632;4.918033;4.918033;100400
b05;61.000000;Randomizado_alpha_0.2;0.2;30;-;61.000000;61.400000;0.011684;0.000000;0.655738;100401
b05;61.000000;Randomizado_alpha_0.3;0.3;30;-;61.000000;61.300000;0.011797;0.000000;0.491803;100401
b05;61.000000;Randomizado_alpha_0.4;0.4;30;-;61.000000;61.300000;0.011369;0.000000;0.491803;100401
b05;61.000000;Reativo_0.2_0.3_0.4;-;300;30;61.000000;61.000000;0.105799;0.000000;0.000000;100400
b06;122.000000;Guloso;-;-;-;127.000000;127.000000;0.203785;4.098361;4.098361;100500
b06;122.000000;Randomizado_alpha_0.2;0.2;30;-;123.000000;125.400000;0.018292;0.819672;2.786885;100504
b06;122.000000;Randomizado_alpha_0.3;0.3;30;-;123.000000;125.000000;0.017504;0.819672;2.459016;100507
b06;122.000000;Randomizado_alpha_0.4;0.4;30;-;123.000000;125.100000;0.018038;0.819672;2.540984;100503
b06;122.000000;Reativo_0.2_0.3_0.4;-;300;30;125.000000;125.000000;0.184473;2.459016;2.459016;100500
b07;111.000000;Guloso;-;-;-;118.000000;118.000000;0.319596;6.306306;6.306306;100600
b07;111.000000;Randomizado_alpha_0.2;0.2;30;-;111.000000;111.000000;0.022240;0.000000;0.000000;100600
b07;111.000000;Randomizado_alpha_0.3;0.3;30;-;111.000000;111.000000;0.022107;0.000000;0.000000;100600
b07;111.000000;Randomizado_alpha_0.4;0.4;30;-;111.000000;111.000000;0.021915;0.000000;0.000000;100600
b07;111.000000;Reativo_0.2_0.3_0.4;-;300;30;112.000000;112.000000;0.223274;0.900901;0.900901;100600
b08;104.000000;Guloso;-;-;-;108.000000;108.000000;0.544836;3.846154;3.846154;100700
b08;104.000000;Randomizado_alpha_0.2;0.2;30;-;105.000000;105.000000;0.028494;0.961538;0.961538;100700
b08;104.000000;Randomizado_alpha_0.3;0.3;30;-;104.000000;108.100000;0.028129;0.000000;3.942308;100704
b08;104.000000;Randomizado_alpha_0.4;0.4;30;-;105.000000;108.900000;0.030488;0.961538;4.711538;100703
b08;104.000000;Reativo_0.2_0.3_0.4;-;300;30;107.000000;108.200000;0.275998;2.884615;4.038462;100700
b09;220.000000;Guloso;-;-;-;225.000000;225.000000;1.035973;2.272727;2.272727;100800
b09;220.000000;Randomizado_alpha_0.2;0.2;30;-;220.000000;220.200000;0.037029;0.000000;0.090909;100800
b09;220.000000;Randomizado_alpha_0.3;0.3;30;-;220.000000;220.400000;0.040296;0.000000;0.181818;100801
b09;220.000000;Randomizado_alpha_0.4;0.4;30;-;220.000000;221.100000;0.041955;0.000000;0.500000;100804
b09;220.000000;Reativo_0.2_0.3_0.4;-;300;30;220.000000;220.000000;0.381766;0.000000;0.000000;100800
b10;86.000000;Guloso;-;-;-;86.000000;86.000000;0.384786;0.000000;0.000000;100900
b10;86.000000;Randomizado_alpha_0.2;0.2;30;-;90.000000;90.000000;0.023194;4.651163;4.651163;100900
