Instancia;MelhorConhecido;Guloso;Randomizado_alpha_0.2;Randomizado_alpha_0.3;Randomizado_alpha_0.4;Reativo_0.2_0.3_0.4
b01;82.000000;0.000000;0.000000;0.000000;0.000000;0.000000
b02;83.000000;8.433735;1.204819;1.204819;1.204819;2.409639
b03;138.000000;0.724638;0.724638;0.724638;0.724638;0.724638
b04;59.000000;5.084746;1.525424;0.169492;0.000000;0.000000
b05;61.000000;4.918033;0.655738;0.491803;0.491803;0.000000
b06;122.000000;4.098361;2.786885;2.459016;2.540984;2.459016
b07;111.000000;6.306306;0.000000;0.000000;0.000000;0.900901
b08;104.000000;3.846154;0.961538;3.942308;4.711538;4.038462
b09;220.000000;2.272727;0.090909;0.181818;0.500000;0.000000
b10;86.000000;0.000000;4.651163;4.418605;3.953488;4.651163
b11;88.000000;3.409091;1.363636;1.704545;2.272727;2.272727
b12;174.000000;1.724138;0.689655;0.804598;1.321839;1.149425
b13;165.000000;4.848485;4.969697;4.787879;4.545455;4.848485
b14;235.000000;2.553191;1.191489;1.361702;2.255319;0.042553
b15;318.000000;3.144654;0.974843;1.226415;1.666667;1.069182
b16;127.000000;4.724409;1.259843;1.417323;1.574803;3.149606
b17;131.000000;0.763359;0.000000;0.458015;0.229008;0.000000
b18;218.000000;5.963303;3.027523;3.027523;3.073394;2.064220
oddcycle3;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000
oddwheel3;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000
