Instancia;MelhorConhecido;Guloso;Randomizado_alpha_0.2;Randomizado_alpha_0.3;Randomizado_alpha_0.4;Reativo_0.2_0.3_0.4
b01;82.000000;0.000000;0.000000;0.000000;0.000000;0.000000
b02;83.000000;8.433735;1.204819;1.204819;1.204819;2.409639
b03;138.000000;0.724638;0.724638;0.724638;0.724638;0.724638
b04;59.000000;5.084746;0.000000;0.000000;0.000000;0.000000
b05;61.000000;4.918033;0.000000;0.000000;0.000000;0.000000
b06;122.000000;4.098361;0.819672;0.819672;0.819672;2.459016
b07;111.000000;6.306306;0.000000;0.000000;0.000000;0.900901
b08;104.000000;3.846154;0.961538;0.000000;0.961538;2.884615
b09;220.000000;2.272727;0.000000;0.000000;0.000000;0.000000
b10;86.000000;0.000000;4.651163;3.488372;2.325581;4.651163
b11;88.000000;3.409091;0.000000;0.000000;0.000000;2.272727
b12;174.000000;1.724138;0.000000;0.000000;0.574713;1.149425
b13;165.000000;4.848485;4.848485;3.636364;3.636364;4.848485
b14;235.000000;2.553191;0.000000;0.425532;0.851064;0.000000
b15;318.000000;3.144654;0.314465;0.628931;0.628931;0.628931
b16;127.000000;4.724409;0.000000;0.000000;0.000000;3.149606
b17;131.000000;0.763359;0.000000;0.000000;0.000000;0.000000
b18;218.000000;5.963303;2.293578;2.293578;0.917431;1.376147
oddcycle3;4.000000;0.000000;0.000000;0.000000;0.000000;0.000000
oddwheel3;5.000000;0.000000;0.000000;0.000000;0.000000;0.000000
