Instancia;MelhorConhecido;Guloso;Randomizado_alpha_0.2;Randomizado_alpha_0.3;Randomizado_alpha_0.4;Reativo_0.2_0.3_0.4
b01;82.000000;0.048758;0.008437;0.008046;0.008558;0.081061
b02;83.000000;0.076306;0.009993;0.009394;0.009456;0.089751
b03;138.000000;0.149320;0.012053;0.012432;0.013208;0.127928
b04;59.000000;0.062014;0.009408;0.008826;0.008854;0.088653
b05;61.000000;0.086632;0.011684;0.011797;0.011369;0.105799
b06;122.000000;0.203785;0.018292;0.017504;0.018038;0.184473
b07;111.000000;0.319596;0.022240;0.022107;0.021915;0.223274
b08;104.000000;0.544836;0.028494;0.028129;0.030488;0.275998
b09;220.000000;1.035973;0.037029;0.040296;0.041955;0.381766
b10;86.000000;0.384786;0.023194;0.022461;0.022088;0.236201
b11;88.000000;0.555960;0.027291;0.026985;0.028981;0.273257
b12;174.000000;1.282476;0.043854;0.044567;0.046468;0.461414
b13;165.000000;1.161433;0.039306;0.040154;0.038587;0.362462
b14;235.000000;1.777901;0.051800;0.052253;0.052561;0.526479
b15;318.000000;3.723376;0.075332;0.077655;0.078069;0.776896
b16;127.000000;1.041379;0.033929;0.033691;0.034401;0.375407
b17;131.000000;1.877219;0.053229;0.053571;0.054844;0.506505
b18;218.000000;3.981979;0.079915;0.080023;0.082168;0.822199
oddcycle3;4.000000;0.000034;0.000269;0.000260;0.000255;0.002583
oddwheel3;5.000000;0.000074;0.000405;0.000410;0.000408;0.003800
